delivery_id,match_id,player_id,runs,wickets,overs
D000001,M001_2022,P012,0,0,0.1
D000002,M001_2022,P010,1,0,0.2
D000003,M001_2022,P007,2,0,0.3
D000004,M001_2022,P009,2,0,0.4
D000005,M001_2022,P006,1,0,0.5
D000006,M001_2022,P002,4,0,0.6
D000007,M001_2022,P003,0,0,1.1
D000008,M001_2022,P005,0,0,1.2
D000009,M001_2022,P011,1,0,1.3
D000010,M001_2022,P011,0,0,1.4
D000011,M001_2022,P003,4,0,1.5
D000012,M001_2022,P008,4,0,1.6
D000013,M001_2022,P019,0,0,2.1
D000014,M001_2022,P001,2,0,2.2
D000015,M001_2022,P006,2,0,2.3
D000016,M001_2022,P016,4,0,2.4
D000017,M001_2022,P003,2,0,2.5
D000018,M001_2022,P005,3,0,2.6
D000019,M001_2022,P006,0,0,3.1
D000020,M001_2022,P013,4,0,3.2
D000021,M001_2022,P002,3,0,3.3
D000022,M001_2022,P020,0,0,3.4
D000023,M001_2022,P019,2,0,3.5
D000024,M001_2022,P010,0,0,3.6
D000025,M001_2022,P017,0,0,4.1
D000026,M001_2022,P016,0,0,4.2
D000027,M001_2022,P001,4,0,4.3
D000028,M001_2022,P016,3,0,4.4
D000029,M001_2022,P016,4,0,4.5
D000030,M001_2022,P005,4,0,4.6
D000031,M001_2022,P001,4,0,5.1
D000032,M001_2022,P018,4,0,5.2
D000033,M001_2022,P012,4,0,5.3
D000034,M001_2022,P002,1,0,5.4
D000035,M001_2022,P015,0,0,5.5
D000036,M001_2022,P006,4,0,5.6
D000037,M001_2022,P012,6,0,6.1
D000038,M001_2022,P016,6,0,6.2
D000039,M001_2022,P002,0,0,6.3
D000040,M001_2022,P017,3,0,6.4
D000041,M001_2022,P012,1,0,6.5
D000042,M001_2022,P002,2,0,6.6
D000043,M001_2022,P002,0,0,7.1
D000044,M001_2022,P013,1,0,7.2
D000045,M001_2022,P014,4,0,7.3
D000046,M001_2022,P004,4,0,7.4
D000047,M001_2022,P011,0,0,7.5
D000048,M001_2022,P016,1,0,7.6
D000049,M001_2022,P019,2,0,8.1
D000050,M001_2022,P002,3,0,8.2
